CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,POSITION_IN_UNIQUE_CONSTRAINT,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
def,gtin_13,PRIMARY,def,gtin_13,brand,BSIN,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,brand_group,BSIN,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,brand_owner,OWNER_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,brand_owner_bsin,BSIN,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,brand_type,BRAND_TYPE_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gcp,GCP_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gcp_nb,prefix_cd,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gcp_nb,gcp_length,2,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gcp_rc,RETURN_CODE,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gpc,GPC_LANG,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gpc,GPC_CD,2,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_gpc_hier,GPC_B_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gs1_prefix,PREFIX_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,gtin,GTIN_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,label,LABEL_ID,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,nutrition_us,GTIN_CD,1,NULL,NULL,NULL,NULL
def,gtin_13,PRIMARY,def,gtin_13,pkg_type,pkg_type_cd,1,NULL,NULL,NULL,NULL
