OWNER_CD,OWNER_NM,OWNER_LINK,OWNER_WIKI_EN
1,"P&G - Procter & Gamble",http://www.pg.com,http://en.wikipedia.org/wiki/Procter_%26_Gamble
2,Unilever,http://www.unilever.com,http://en.wikipedia.org/wiki/Unilever
3,"Kraft Foods",http://www.kraftfoodscompany.com,http://en.wikipedia.org/wiki/Kraft_Foods
4,Intersnack,http://www.intersnack.fr,
5,"Le mutant",http://www.lemutant.fr,
6,Globus,http://www.globus.de,http://en.wikipedia.org/wiki/Globus_(hypermarket)
7,Hypermarcas,http://www.hypermarcas.com.br,http://en.wikipedia.org/wiki/Hypermarcas
8,Barilla,http://www.barillagroup.com,http://en.wikipedia.org/wiki/Barilla_Group
9,"Kids II",http://www.kidsii.com,
10,"Sun Products Corporation",http://www.sunproductscorp.com,http://en.wikipedia.org/wiki/Sun_Products
11,"Reckitt Benckiser Group",http://www.rb.com,http://en.wikipedia.org/wiki/Reckitt_Benckiser
12,Pepsico,http://www.pepsico.com,http://en.wikipedia.org/wiki/Pepsico
13,Coca-Cola,http://www.coca-colacompany.com,http://en.wikipedia.org/wiki/The_Coca-Cola_Company
14,Purina,http://www.purina.com,http://en.wikipedia.org/wiki/Purina
15,LVMH,http://www.lvmh.fr,http://en.wikipedia.org/wiki/LVMH
16,L'Oréal,http://www.loreal.fr,http://en.wikipedia.org/wiki/L%27Oréal
17,Coty,http://www.coty.com,"http://en.wikipedia.org/wiki/Coty,_Inc."
18,Mars,http://www.mars.com,http://en.wikipedia.org/wiki/Mars_Incorporated
19,"General Mills",http://www.generalmills.com,http://en.wikipedia.org/wiki/General_Mills
20,"Colgate Palmolive",http://www.colgatepalmolive.com,http://en.wikipedia.org/wiki/Colgate_Palmolive
21,"SC Johnson",http://www.scjohnson.com,http://en.wikipedia.org/wiki/SC_Johnson
22,"Orangina Schweppes",http://www.oranginaschweppes.com,
23,"Dr Pepper Snapple Group",http://www.drpeppersnapplegroup.com,http://en.wikipedia.org/wiki/Dr_Pepper_Snapple_Group
24,"B&G Foods",http://www.bgfoods.com,http://en.wikipedia.org/wiki/B%26G_Foods
25,Henkel,http://www.henkel.com,http://en.wikipedia.org/wiki/Henkel
26,Nestlé,http://www.nestle.com,http://en.wikipedia.org/wiki/Nestlé
27,Walmart,http://www.walmart.com,http://en.wikipedia.org/wiki/Walmart
28,"Jarden Corporation",http://www.jarden.com,http://en.wikipedia.org/wiki/Jarden
29,"Kellogg Company",http://www.kelloggcompany.com,http://en.wikipedia.org/wiki/Kellogg_Company
30,Safeway,http://www.safeway.com,http://en.wikipedia.org/wiki/Safeway_Inc
31,"Carlsberg Group",http://www.carlsberggroup.com,http://en.wikipedia.org/wiki/Carlsberg_Group
32,"Grupo AC Marca",http://www.grupoacmarca.com,
