GPC_LANG,GPC_CD,GPC_NM,GPC_LEVEL,SOURCE
EN,10000000,"Pet Care/Food",S,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000002,"Fruit – Unprepared/Unprocessed (Frozen)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000003,"Fruit – Unprepared/Unprocessed (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000005,"Vegetables – Unprepared/Unprocessed (Frozen)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000006,"Vegetables – Unprepared/Unprocessed (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000007,"Nuts/Seeds – Unprepared/Unprocessed (Perishable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000008,"Nuts/Seeds – Unprepared/Unprocessed (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000016,"Fish – Prepared/Processed (Perishable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000017,"Fish – Prepared/Processed (Frozen)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000018,"Fish – Prepared/Processed (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000019,"Shellfish – Unprepared/Unprocessed (Perishable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000020,"Shellfish – Unprepared/Unprocessed (Frozen)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000021,"Shellfish – Unprepared/Unprocessed (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000025,"Milk/Milk Substitutes (Perishable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
EN,10000026,"Milk/Milk Substitutes (Shelf Stable)",B,"GPC as at 01-Jun-2012 (GDSN production version)"
